user_id,days,party,season,style,budget_level,interests,origin_city
u001,3,family,봄,relax,중,foodie|nature,Seoul
u002,2,couple,가을,active,상,culture|foodie,Busan
u003,4,solo,여름,balanced,중,nature|photography,Seoul
u004,2,friends,겨울,active,하,foodie|nightlife,Daegu
u005,2,couple,겨울,active,중,nature|shopping,Daegu
u006,3,solo,겨울,relax,하,culture|entertainment|photography|relaxation,Seoul
u007,3,couple,봄,relax,상,luxury|photography|shopping,Gwangju
u008,5,couple,가을,active,하,cooking|foodie|nature,Incheon
u009,2,couple,봄,relax,상,nature,Incheon
u010,3,couple,여름,active,중,nature,Changwon
u011,3,family,겨울,balanced,중,culture|nature|photography|shopping,Busan
u012,2,friends,가을,balanced,중,entertainment|market|photography,Ulsan
u013,2,family,가을,relax,중,dance|photography|technology,Gwangju
u014,4,solo,여름,balanced,중,foodie|nature|shopping,Busan
u015,5,solo,여름,relax,상,culture|shopping,Seoul
u016,2,couple,가을,relax,상,dessert|entertainment,Yongin
u017,2,friends,가을,balanced,중,entertainment|photography,Gwangju
u018,1,couple,가을,relax,중,culture|foodie,Bucheon
u019,3,friends,가을,balanced,중,dance|entertainment|foodie,Goyang
u020,4,couple,겨울,balanced,하,culture|entertainment,Suwon
u021,4,family,봄,relax,중,foodie,Gwangju
u022,3,couple,여름,active,중,culture|entertainment|photography|shopping,Ansan
u023,3,family,가을,relax,중,culture|dessert|photography|shopping,Changwon
u024,2,couple,가을,balanced,상,dance,Busan
u025,1,couple,가을,balanced,상,nature,Incheon
u026,2,family,여름,active,중,entertainment,Daegu
u027,3,couple,가을,balanced,상,foodie|hiking,Seoul
u028,4,family,여름,balanced,상,entertainment,Cheonan
u029,3,couple,봄,relax,상,foodie|hiking|photography|shopping,Incheon
u030,3,couple,가을,balanced,상,entertainment|foodie|local,Goyang
u031,5,friends,겨울,active,상,bike|foodie,Daegu
u032,2,family,겨울,active,상,couple|social,Goyang
u033,4,couple,봄,relax,중,history|shopping|wellness,Bucheon
u034,4,family,가을,active,중,beach|nature|photography,Bucheon
u035,2,solo,봄,active,하,foodie|shopping,Ulsan
u036,2,friends,가을,balanced,중,entertainment|foodie|history,Suwon
u037,5,family,여름,balanced,상,shopping|social|walking,Incheon
u038,3,couple,겨울,relax,상,shopping,Incheon
u039,3,family,겨울,balanced,중,entertainment|foodie,Incheon
u040,2,couple,가을,balanced,상,culture|technology,Seoul
u041,3,family,봄,relax,중,entertainment|shopping,Bucheon
u042,3,friends,봄,active,중,culture|foodie|nature|shopping,Bucheon
u043,3,friends,여름,active,중,photography,Daegu
u044,3,family,겨울,balanced,중,nature|photography,Goyang
u045,2,couple,봄,active,상,culture,Seoul
u046,4,solo,가을,active,중,photography,Suwon
u047,4,friends,여름,active,중,foodie|indoor|shopping|sports,Daegu
u048,3,couple,가을,relax,상,couple|culture|shopping,Changwon
u049,3,friends,여름,active,중,photography|seafood|streetfood,Incheon
u050,3,friends,여름,active,중,culture|dance|shopping,Bucheon
u051,2,friends,봄,active,중,culture|nature|photography|shopping,Bucheon
u052,3,friends,봄,active,중,market|photography|shopping,Goyang
u053,3,family,겨울,balanced,중,nature|shopping|streetfood,Seoul
u054,2,couple,겨울,relax,상,culture|entertainment|photography|shopping,Seoul
u055,3,family,겨울,balanced,중,foodie,Cheonan
u056,2,friends,겨울,active,하,solo,Changwon
u057,3,solo,겨울,relax,하,culture|foodie|history|nature,Bucheon
u058,3,friends,여름,active,중,shopping,Incheon
u059,5,solo,여름,balanced,중,culture|entertainment|foodie|shopping,Ulsan
u060,2,couple,가을,balanced,상,beach|culture|foodie|nature,Bucheon
u061,3,couple,가을,balanced,상,nature|outdoor|photography|shopping,Seoul
u062,4,family,겨울,balanced,중,water,Busan
u063,3,solo,겨울,relax,하,beach|craft|culture,Suwon
u064,3,friends,여름,active,중,hiking,Bucheon
u065,4,family,봄,relax,중,shopping,Cheonan
u066,3,solo,봄,active,하,culture|foodie|nature|night,Busan
u067,4,solo,여름,balanced,중,culture|entertainment,Ansan
u068,6,friends,가을,balanced,하,art|foodie|photography|seafood,Seoul
u069,7,couple,겨울,balanced,하,culture|nature|photography,Suwon
u070,4,couple,여름,active,중,couple,Daegu
u071,7,friends,봄,balanced,중,foodie,Ulsan
u072,3,family,겨울,balanced,중,culture|indoor|streetfood,Yongin
u073,5,family,여름,balanced,상,nature,Seoul
u074,2,solo,겨울,relax,하,foodie,Daegu
u075,3,family,봄,relax,중,culture|dance|foodie|nature,Changwon
u076,4,friends,여름,active,중,social,Ulsan
u077,6,friends,봄,relax,상,hiking,Cheonan
u078,2,friends,겨울,active,상,culture|entertainment|nature|shopping,Busan
u079,3,friends,봄,active,중,nature,Cheonan
u080,2,couple,봄,relax,상,foodie|nature|photography|shopping,Bucheon
u081,3,family,봄,relax,중,outdoor,Ulsan
u082,6,family,가을,balanced,상,entertainment|foodie|nature|streetfood,Seoul
u083,3,family,가을,relax,중,entertainment|nature|nightlife|shopping,Ansan
u084,3,family,봄,relax,중,couple|culture|foodie|market,Daegu
u085,7,friends,겨울,balanced,중,cooking|entertainment|streetfood,Yongin
u086,2,couple,가을,balanced,상,family|foodie|nature|technology,Ansan
u087,3,friends,가을,relax,상,entertainment|history,Cheonan
u088,2,friends,겨울,active,하,nature|shopping,Incheon
u089,2,couple,봄,relax,상,cafe,Bucheon
u090,4,family,여름,balanced,상,nature|photography|shopping,Incheon
u091,3,family,가을,relax,중,bike|culture|foodie|shopping,Seoul
u092,2,solo,봄,active,하,beach|entertainment|foodie|shopping,Daegu
u093,2,friends,여름,balanced,중,nature|photography,Seoul
u094,2,couple,가을,balanced,상,culture|foodie|photography,Seoul
u095,3,solo,가을,active,중,photography,Ulsan
u096,3,couple,가을,balanced,상,adventure|technology,Ulsan
u097,3,solo,여름,balanced,중,market|solo|spiritual,Yongin
u098,3,friends,봄,active,중,culture|entertainment|foodie|friends,Ulsan
u099,1,friends,봄,relax,중,nature,Daegu
u100,3,couple,가을,balanced,상,dessert|entertainment|nature|shopping,Daejeon
